TRAIN_NUMBER,TRAIN_NAME,OWNING_RLY,TRAIN_TYPE,TRAIN_SUB_TYPE,TRAIN_SRC,TRAIN_DSTN,NO_OF_COACHES,RAKE_TYPE
22353,PNBE-SMVB HUMSAFAR SF EXP,ECR,SUF,HMSF,PNBE,SMVB,21,LHB
22354,SMVB-PNBE HUMSAFAR SF EXP,ECR,SUF,HMSF,SMVB,PNBE,21,LHB
22359,PNBE-CSMT SF EXPRESS,ECR,SUF,SUF,PNBE,CSMT,22,LHB
22360,CSMT-PNBE SF EXP,ECR,SUF,SUF,CSMT,PNBE,22,LHB
22535,RMM-BSBS SUPER FAST EXP,NER,SUF,SUF,RMM,BSBS,22,LHB
22536,BSBS-RMM SUF EXP,NER,SUF,SUF,BSBS,RMM,22,LHB
22553,RXL-LTT ANTYODAY EXPRESS,ECR,SUF,ANTY,RXL,LTT,22,LHB
22554,LTT-RXL ANTYODAY EXPRESS,ECR,SUF,ANTY,LTT,RXL,22,LHB
22563,JYG-UDN ANTYODAY SF EXP,ECR,SUF,ANTY,JYG,UDN,22,LHB
22564,UDN-JYG ANTYODAY SF EXP,ECR,SUF,ANTY,UDN,JYG,22,LHB
22613,RMM-AYC SHRADDHASETHU SF,SR,SUF,SUF,RMM,AYC,22,LHB
22614,AYC-RMM SHRADDHA SETHU SF,SR,SUF,SUF,AYC,RMM,19,LHB
22614,AYC-RMM SHRADDHA SETHU SF,SR,SUF,SUF,AYC,RMM,22,LHB
22669,ERS PATNA SF EXP,SR,SUF,SUF,ERS,PNBE,22,LHB
22670,PNBE-ERS SF EXP,SR,SUF,SUF,PNBE,ERS,22,LHB
22683,YPR-LKO EXPRESS,SWR,SUF,SUF,YPR,LKO,16,LHB
22684,LKO-YPR EXPRESS,SWR,SUF,SUF,LKO,YPR,16,LHB
